Number;Name;colos;Scribes?;Year;LAT;VERN;No.mss;;Place;
245;Alaidis [Adelheidis];0;0;;1;;0;Obiit Alaidis cuius hoc psalterium fuit;;
246;Aleith Claricia [Adelheidis];1;1;;1;;1;Mater Ide Lifmundi fecit hec scribi;;
247;Adelheidis d'Unterlinden;;;1300s;;;0;;;
248;Adalhaidis;1;1;;;;1;Imago Adelhaidis quae codicem scripsit;;
249;Alheydem Kalves [Adelheidis];1;1;1456;1;;1;completus est liber iste per me sororem inutilem;in monasterio Stederborch;
250;Alijt Lambert [Adelheidis];1;1;1476;;1;1;Dit boec heeft ghescreven Suster Alijt Lambert;;
251;Aleidim Reineri, Kunnigundim;1;2;1486;1;;1;Scriptum et completum est praesens orarium per me sororem…;O.S.Ioh. Hieros. sacre domus in pratis Werphum;
252;Alheit von Strytperg [Adelheidis];1;1;1360s;;1;1;Ich swester Alheit von Strytperg han daz puch geschrieben;;
253;Adelheydis strosserin;1;1;1444;;1;1;Das puch hat geschriben swester Adelheydis strosserin;;
308;Adruhic, Altildis, Gisledrudis, Eusebia;1;4;795-819;1;;1;Adruhic scripsit etc.;;
310;Aernt van Hokelum;1;1;;;;1;Geschreven door suster Aernt ;Nord-Nederland;
314;Agata di Nicola d'Andrea Nicoli;;;1518;;1;0;Questo libro a facto scrivere la veneranda religiosa signora;;
321;Agnes abbatissa Quedlinburgensis;;;1184-1205;1;;0;;;
322;Agnes;;;;;1;0;Fatto eseguire da domina Agnes monialis;monialis monasterii s. Petri de Padova;
323;Agnes;;;;1;;0;Donis Agnetis librum complevimus;;
324;Agnes bützlin;1;1;1497;1;;1;Finitus est iste liber per me soror Agnes;OS Clare in Vilingen;
325;Angnes Keiserin, Ursala Wickersteterin;;;;;1;0;Wer disses puchlein vint der geb es durch got wider swester A…;;
326;Agnes Klencke;1;1;1509;1;;1;quem scripsit Agnes Klencke monialis;in Visbeke;
327;Angnes Föisin;1;1;1449;;1;1;Die wars ungeschriben an s. Iohans bapt abendt … von schwester Agnes Föisin;;
328;Angnese de mülheim;1;1;;1;;1;Orate pro me sorore Angnese de mülheim;;
329;Agnes von Waldeke, Adelheid von Smaehing;1;2;;;1;1;hab der gedench ... der armen swester A. …Gedencht auch A. din diez buoch hat geschriben;;
442;Sandra di Giovanni;0;0;1457;;1;0;Written and ornamented for S. di Giovanni;abbess of the Ben Conv of St Mary at Rosano ;
453;Alicia Ligh;1;1;;1;;1;A. nuper coniunx Iohannis … hunc librum scribi et fieri fecit;de Chipnam;
454;Alix de Villesorreston;0;0;1425;;1;0;les quels fit faire dame A. et li costirent 95 florins;;
817;Angela;1;1;;1;;1;"Ego soror A … scripsi manu propria hoc collectarium. ""Qui scripsit""!";;
818;Angiule Donati;1;1;;1;;1;Angiule Donati me scripsit cum manum (!) sinistra;;
819;Angelica;1;1;1400s;;1;1;;Tarragona;
887;Anna Brechteln;1;1;1454;;1;1;von swester Anna Brechteln;;
888;Anne de Castille;1;1;1562;;1;1;; ND de Sion-Bruges;
889;Anna Frankensteyn;1;1;1518;;1;1;"""written by""";monasterii s. marie in Weydas;
890;Anna von Freyberg;1;1;1527;;1;1;ist diss buch gemarcht und verordnet worden durch … A äptissin;;
891;Anna Ioerdaen;1;1;;;1;1;Dit boeck heeft ghescreven suter A ;cloester can Iericho by Sinte Katherine;
892;Anna Swilden;1;1;;;1;1;;du Val Ste-Catherine-Hasselt;
893;Anne Tyddinges;;;;;1;0;Dit boeck is gheeyndet …voer die devot suster A;;
894;Anna van Thienen;1;1;1555;;1;1;Een Ave Maria voer die dit heet geschreven op dat sy eewelyck met God magh leven ;;
895;Annan von Zymmern;0;0;1454;;1;0;Daz puchlin ist gescriben … der edeln und wolgepornen frowen;;
896;Anna Zineris;1;1;1478;1;;1;…per sororem Annam Zineris monast. Altmünster priorissam … exaratus;Altmünster;
924;Antonia;1;1;1423;;1;1;"""written by""";San Pier Maggiore, Firenze;
925;Anthonnie van Burgundien;1;1;1503;;1;1;Geschreven door Suster A. ;;
926;Anthonine van Massemen ao;0;0;1480;;;0;Dit boec hevet doen maken Vrouwen A etc.;;
927;Anthoinette de Prouille;1;1;;;1;1;Che livre est a soeur A;;
1294;Appolonia;1;1;;;1;1;Bydt got vur die schreverce suster appolonia;;
1295;Appolonia Pollanderin;1;1;1500;;1;1;pit got fur die letzte schreiberin Appolonia Pollanderin;;
1296;Appolonia Polanderijn ;1;;1517;;1;1;Pytt got fur die screiberyn swester Appolonia Polanderijn;;
1648;Barbara;0;0;1550;;1;0;"""written for a lady named Barbara""";;
1649;Barbar Dircs;1;1;1469;;1;1;"Dit boec heeft ghescreven Barbar Dircs dochter die ionste ende…""";;
1650;Barbe Wyesse;1;1;1486;;1;1;…escripte par ma prepre mains, suer Barbe Wyesse, religieuse indigne ;du couvent de s. Clare cituee au Nuefchastlz en Lorraine;
1651;Barbele Sermestens;1;1;1443;;1;1;Geschreven door Suster Barbele Sermestens;;
