;M;F;?;Year;LAT;VERN;
19936;;;1;;;1;
19937;1;;;1200-t;;1;bibere scriptor eat
19938;;;1;;1;;
19939;;;1;;1;;
19940;;;1;;;1;
19941;;;1;;;1;
19942;;;1;;;1;
19943;;;1;;;1;
19944;;;1;;;1;
19945;;;1;;1;;
19946;;;1;;1;;
19947;;;1;;1;;
19948;;;1;;1;;
19949;1;;;1400-t;1;;Sum scriptor talis
19950;;;1;;;1;
19951;;;1;;1;1;
19952;;;1;;;1;
19953;;;1;;1;;
19954;;;1;;1;;
19955;;;1;;1;;
19956;;;1;;1;;
19957;;;1;;1;;
19958;;;1;;1;;
19959;;;1;;1;;
19960;;;1;;1;;
19961;;;1;;1;;
19962;;;1;;1;;
19963;;;1;;1;;
19964;;;1;;1;;
19965;;;1;;1;;
19966;;;1;;1;;
19967;;;1;;1;;
19968;;;1;;1;;
19969;;;1;;1;;
19970;1;;;;1;;
19971;;;1;;1;;
19972;;;1;;1;;
19973;;;1;;1;;
19974;;;1;;1;;
19975;;;1;;1;;
19976;;;1;;1;;
19977;;;1;;1;;
19978;;;1;;1;;
19979;;;1;;1;;
19980;;;1;;1;;
19981;;;1;;1;;
19982;;;1;;1;;
19983;;;1;;1;;
19984;;;1;;1;;
19985;1;;;1300-t;1;;Assit ei lumen, qui scripsit istud volumen
19986;1;;;1300-t;1;;Assit ei lumen, qui scripsit istud volumen
19987;1;;;1300-t;1;;Assit ei lumen, qui scripsit istud volumen
19988;;;1;;1;;
19989;;;1;;1;;
19990;;;1;;1;;
19991;;;1;;1;;
19992;;;1;;1;;
19993;;;1;;1;;
19994;;;1;;1;;
19995;;;1;;1;;
19996;;;1;;1;;
19997;1;;;1300-t;1;;Qui scripsit scribat
19998;;;1;;1;;
19999;;;1;;1;;
20000;;;1;;1;;
20001;;1;;s. 13 and 15;1;;Assit principio sancta Maria meo. Katerina
20002;;;1;;1;;
20003;;;1;;1;;
20004;;;1;;1;;
20005;;;1;;1;;
20006;;;1;;1;;
20007;;;1;;1;;
20008;;;1;;1;;
20009;1;;;1300-t;1;;Manus scriptoris semper careat gravitate doloris
20010;;;1;;1;;
20011;1;;;1337;1;;Qui scripsit scribat
20012;;;1;;1;;
20013;;;1;;1;;
20014;1;;;1400-t;1;;Pro scriptore precem digneris
20015;1;;;1465;1;;Agnes sancta sui pennam scriptoris inauret
20016;;;1;;;1;
20017;;;1;;;1;
20018;;;1;;;1;
20019;;;1;;1;;
20020;;;1;;;1;
20021;;;1;;;1;
20022;;;1;;;1;
20023;;;1;;1;;
20024;;;1;;1;;
20025;;;1;;1;;
20026;;;1;;;1;
20027;1;;;1400-t;1;;Scriptori maneat pia px et vita perhennis
20028;;;1;;1;;
20029;1;;;1536;;1;Almen pregate dio per il schritore
20030;;;1;;1;;
20031;;;1;;;1;
20032;;;1;;;1;
20033;;;1;;;1;
20034;;;1;;;1;
20035;;;1;;;1;
20036;1;;;1432;;1;sit scriptor crimine liber
20037;;;1;;;1;
20038;;;1;;;1;
20039;;;1;;;1;
20040;;;1;;;1;
20041;;;1;;;1;
20042;;;1;;;1;
20043;;;1;;;1;
20044;;;1;;1;;
20045;;;1;;;1;
20046;1;;;1282;;;Finitur libro, provideatur magistro
20047;;;1;;1;;
20048;;;1;;1;;
20049;;;1;;1;;
20050;;;1;;1;;
20051;;;1;;1;;
20052;;;1;;;1;
20053;;;1;;;1;
20054;;;1;;;1;
20055;;;1;;;1;
20056;;;1;;;1;
20057;;;1;;;1;
20058;;;1;;;1;
20059;;;1;;1;;
20060;;;1;;;1;
20061;;;1;;1;;
20062;;;1;;1;;
20063;;;1;;1;;
20064;;;1;;1;;
20065;;;1;;1;;
20066;;;1;;1;1;
20067;;;1;;1;;
20068;;;1;;1;;
20069;;;1;;1;;
20070;;;1;;1;;
20071;;;1;;1;;
20072;;;1;;1;;
20073;1;;;1300-t;1;;Qui scripsit scripta
20074;;;1;;;1;
20075;;;1;;1;;
20076;;;1;;1;;
20077;;;1;;1;;
20078;1;;;1400-t;;1;Behut got den schreiber 
20079;;;1;;1;;
20080;;;1;;;1;
20081;;;1;;1;;
20082;;;1;;1;;
20083;;;1;;1;;
20084;;;1;;1;;
20085;;;1;;1;;
20086;;;1;;1;;
20087;;;1;;1;;
20088;;;1;;1;;
20089;;;1;;1;;
20090;;;1;;1;;
20091;;;1;;1;;
20092;;;1;;1;;
20093;;;1;;;1;
20094;;;1;;;1;
20095;;;1;;;1;
20096;;;1;;;1;
20097;;;1;;;1;
20098;;;1;;;1;
20099;;;1;;1;;
20100;1;;;1200;1;;Anima auctoris et scriptoris
20101;;;1;;1;;
20102;;;1;;1;;
20103;;;1;;1;1;
20104;;;1;;1;;
20105;;;1;;1;;
20106;;;1;;1;;
20107;;;1;;1;;
20108;;;1;;1;;
20109;;;1;;1;;
20110;;;1;;1;;
20111;;;1;;1;;
20112;;;1;;1;;
20113;;;1;;1;;
20114;;;1;;1;;
20115;;;1;;1;;
20116;;;1;;1;;
20117;;;1;;1;;
20118;;;1;;1;;
20119;;;1;;1;;
20120;;;1;;1;;
20121;;;1;;;1;
20122;;;1;;1;;
20123;1;;;1300-t;;1;Au clerc qui ce escript dont deus bonne aventure
20124;1;;;1400-t;1;;precium volt scriptor habere
20125;;;1;;1;;
20126;;;1;;1;;
20127;;;1;;1;;
20128;;;1;;1;;
20129;;;1;;1;;
20130;;;1;;1;;
20131;;;1;;1;;
20132;;;1;;1;;
20133;;;1;;1;;
20134;;;1;;1;;
20135;1;;;1400-t;;1;Ave maria voer die scriver
20136;;;1;;1;;
20137;1;;;1100-t;1;;Premia scriptori
20138;;;1;;1;1;
20139;;;1;;1;;
20140;1;;;800-t;1;;Felix sit qui scripsit
20141;;;1;;1;;
20142;;;1;;1;;
20143;;;1;;1;;
20144;;;1;;1;;
20145;;;1;;1;;
20146;;;1;;1;;
20147;;;1;;1;;
20148;1;;;1300-t;1;;Qui scripsit scribat
20149;;;1;;1;;
20150;1;;;1200-t;1;;Benedicat et custodiat scriptorem 
20151;;;1;;1;;
20152;;;1;;1;;
20153;;;1;;1;;
20154;;;1;;1;;
20155;;;1;;1;;
20156;;;1;;1;;
20157;;;1;;1;;
20158;;;1;;1;;
20159;;;1;;1;;
20160;;;1;;1;;
20161;;;1;;1;;
20162;;;1;;1;;
20163;;;1;;;1;
20164;;;1;;1;;
20165;;;1;;1;;
20166;;;1;;1;;
20167;;;1;;1;;
20168;;;1;;1;;
20169;;;1;;1;;
20170;;;1;;1;;
20171;;;1;;1;;
20172;;;1;;1;;
20173;1;;;1300-t;1;;Qui scripsit scribat
20174;1;;;1300-t;1;;Finito libro, dentur sua dona magistro
20175;;;1;;1;;
20176;;;1;;1;;
20177;;;1;;1;;
20178;;;1;;1;;
20179;;;1;;1;;
20180;1;;;1300-t;1;;reddantur vina magistro
20181;;;1;;1;;
20182;;;1;;1;;
20183;1;;;7-800-t;1;;Qui legis, ora pro scribtore
20184;;;1;;1;;
20185;;;1;;1;;
20186;;;1;;1;;
20187;;;1;;1;;
20188;;;1;;1;;
20189;;;1;;1;;
20190;;;1;;1;;
